,"Type",2.011,2.010,2.008,2.009,2.009,2.009,"?",,,,,,,,,,,,,
,,"IEF_2011","HDI_2010","#mobile/100c","WGI_2011va","WGI_2011npv","WGI_2011ge","TBD","GNIpc","hb","hw","hw","hw","hw","hw","hb","hw","hb","hw","hw","hb"
"JOR","JORDAN","68,88248","0,68086","91,42402","25,11848","36,32075","#NAME?",,"5.955,97546","-15,71000","44,93000","0,08197","2,70000","137,96188","21,58000","8,06200","6,80000","89,85835","110,00000","16,95000","2.584,64489"
"KAZ","KAZAKHSTAN","62,12827","0,71390","95,12934","18,00948","69,81132","#NAME?",,"10.234,32447","1,82500","-18,97000","0,04043","7,00000","46,40679","42,06000","13,76400","3,70000","94,86822","200,00000","26,88000","1000"
"KEN","KENYA","57,35405","0,47009","42,05712","36,01896","12,26415","#NAME?",,"1.627,73720","21,14000","8,99000","0,79863","0,40000","13,21256","78,40000","1,45800","1,20000","30,38334","220,00000","80,50000","15,59497"
"KIR","KIRIBATI","44,77545","..","1,03565","69,19431","97,16981","#NAME?",,"3.714,97925","15,61500","33,36000","1,07692","100,00000",,"56,16000","2,82000","100,00000",,"140,00000","38,44000","1000"
"PRK","KOREA, NORTH","#N/A","..","#N/A","0,00000","35,37736","#NAME?",,"..","11,96500","12,15000","0,49788","4,30000","13,46269","37,32000","10,43000","5,90000","76,99214","260,00000","42,00000","0,00000"
"KOR","KOREA, SOUTH","69,77424","0,87716","93,82802","68,24645","52,35849","#NAME?",,"29.517,62005","6,78500","15,47000","0,04335","5,10000","28,66615","18,54000","5,17000","3,20000","85,86439","130,00000","4,73000","147,36834"
"KVO","KOSOVO","#N/A","#N/A",,"45,49763","23,11321","#NAME?",,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"KWT","KUWAIT","64,87514","0,77076","106,55999","30,80569","59,43396","#NAME?",,"55.718,61167","-22,43500","44,93000","0,00012","6,30000","100,00000","1,64000","7,51000","4,90000","100,00000","130,00000","9,40000","51,90272"
"KGZ","KYRGYZSTAN","61,10620","0,59838","#N/A","22,27488","26,41509","#NAME?",,"2.291,22883","-1,52000","9,82000","0,00215","0,00000","21,70075","63,72000","10,74200","0,00000","86,58907","70,00000","33,30000","1000"
"LAO","LAOS","51,25109","0,49682","32,58698","4,26540","43,86792","#NAME?",,"2.320,99621","-1,02000","38,94000","0,99143","0,00000","1,57546","69,12000","1,73000","0,00000","36,33655","250,00000","47,50000","1000"
"LVA","LATVIA","65,82618","0,76902","98,58373","70,14218","61,32075","#NAME?",,"12.944,17784","6,72000","13,56000","0,00003","1,50000","1,79211","31,88000","11,34800","5,00000","86,79225","0,00000","7,90000","6,47612"
"LBN","LEBANON","60,05692","..","34,02676","35,54502","8,96226","#NAME?",,"13.474,62538","-16,19500","44,93000","0,03907","0,20000","27,29167","13,04000","7,68800","1,10000","98,87767","160,00000","11,85000","167,80935"
"LSO","LESOTHO","47,53067","0,42715","28,34936","44,07583","56,60377","#NAME?",,"2.021,14913","-7,39500","63,06000","1,16089","0,00000","0,95602","74,54000","0,72000","0,00000",,"110,00000","63,10000","1000"
"LBR","LIBERIA","46,49492","0,29993","19,29667","37,91469","16,50943","#NAME?",,"319,80896","6,67000","54,41000","0,47299","0,00000","0,05500","39,86000","0,19800","0,00000",,"310,00000","100,42000","1,37062"
"LBY","LIBYA","38,58913","0,75496","76,70577","2,84360","68,86792","#NAME?",,"17.067,62944","-14,76000","59,90000","0,00000","0,80000","200,00000","22,46000","6,10000","2,00000","73,31650","80,00000","15,27000","3,80510"
